feature_class,field_name,type,description,units,level
dem,Z,32 bit float,The z-coordinate value (elevation).,"feet, NAVD88",1
cutlines,none,,,,1
dem_hydro,Z,32 bit float,The z-coordinate value (elevation).,"feet, NAVD88",1
contributing_area,contributing_area,32 bit float,The specific catchment area. ,linear units of fc,1
stream_network,ReachName,text,Name of the reach.,,1
stream_network_points,ReachName,text,Name of the reach.,,1
stream_network_points,POINT_X,double,The x-coordinate value (longitude).,linear units of fc,1
stream_network_points,POINT_Y,double,The y-coordinate value (latitude).,linear units of fc,1
stream_network_points,POINT_M,double,The m-coordinate value (route position).,linear units of fc,1
stream_network_points,Watershed_Area_SqMile,double,The upstream watershed drainage area.,square miles,1
stream_network_points,Z,double,The z-coordinate value (elevation).,"feet, NAVD88",1
watershed_points,ReachName,text,Name of the reach.,,1
watershed_points,POINT_X,double,The x-coordinate value (longitude).,linear units of fc,1
watershed_points,POINT_Y,double,The y-coordinate value (latitude).,linear units of fc,1
watershed_points,POINT_M,double,The m-coordinate value (route position).,linear units of fc,1
watershed_points,Watershed_Area_SqMile,double,The upstream watershed drainage area.,square miles,1
watershed_points,Z,double,The z-coordinate value (elevation).,"feet, NAVD88",1
watershed,ReachName,text,Name of the reach.,,1
watershed,Shape_Area,double,The area of the watershed. ,linear units of fc,1
flowline,ReachName,text,Name of the reach.,,1
flowline,from_measure,double,The start longitudinal stationing value for the reach.,kilometers,1
flowline,to_measure,double,The end longitudinal stationing value for the reach.,kilometers,1
flowline_points,ReachName,text,Name of the reach.,,1
flowline_points,POINT_X,double,The x-coordinate value (longitude).,linear units of fc,1
flowline_points,POINT_Y,double,The y-coordinate value (latitude).,linear units of fc,1
flowline_points,POINT_M,double,The m-coordinate value (route position).,,1
flowline_points,Z,double,The z-coordinate value (elevation).,"feet, NAVD88",1
detrend,detrend_Z,32 bit float,The detrended z-coordinate value (elevation).,"feet, detrended",1
channel_slope,slope,32 bit float,The terrain slope. ,degree,1
xs,ReachName,text,Name of the reach.,,1
xs,Seq,short,The cross section unique identifier. ,,1
xs,x_start,double,The x-coordinate value at the start of the cross section. ,linear units of fc,1
xs,y_start,double,The y-coordinate value at the start of the cross section. ,linear units of fc,1
xs,x_end,double,The x-coordinate value at the end of the cross section. ,linear units of fc,1
xs,y_end,double,The y-coordinate value at the end of the cross section. ,linear units of fc,1
xs,Watershed_Area_SqMile,double,The upstream watershed drainage area.,square miles,1
xs,from_measure,double,The start longitudinal stationing value for the reach.,kilometers,1
xs,to_measure,double,The end longitudinal stationing value for the reach.,kilometers,1
xs,POINT_X,double,The x-coordinate value (longitude).,linear units of fc,1
xs,POINT_Y,double,The y-coordinate value (latitude).,linear units of fc,1
xs,POINT_M,double,The m-coordinate value (route position).,linear units of fc,1
xs,Z,double,The z-coordinate value (elevation).,"feet, NAVD88",1
xs,km_to_mouth,double,The distance to the mouth of the site. ,kilometers,1
xs,loop,long,The loop number. ,,3
